node_id,activation_time_ms
345,144.9641
346,164.2238
347,138.5167
348,176.0288
349,162.7752
350,162.4241
351,143.7582
352,159.8261
353,163.0417
354,168.2751
355,162.7864
356,169.3105
357,141.8274
358,144.7491
359,142.1702
360,159.2178
361,144.3217
362,159.7136
363,163.3261
364,165.5403
365,163.6413
366,155.1419
367,150.0527
368,147.3602
369,154.6617
370,143.5033
371,173.3858
372,162.4248
373,145.9364
374,157.3086
375,143.3784
376,157.6033
377,168.9893
378,163.5742
379,158.0318
380,155.0003
381,167.9010
382,155.0953
383,164.3845
384,150.9143
385,145.4557
386,149.0122
387,144.2608
388,145.9050
389,137.6736
390,167.1787
391,166.3829
392,161.3101
393,161.0746
394,172.5887
395,151.0313
396,155.6098
397,145.9492
398,173.9315
399,146.1407
400,164.5520
401,161.3004
402,147.8685
403,162.6612
404,151.6412
405,139.8601
406,151.0223
407,162.5481
408,174.0735
409,162.9890
410,166.0041
411,162.2688
412,149.9803
413,172.6067
414,169.2770
415,166.3308
416,142.6819
417,163.1618
418,169.4132
419,167.2396
420,167.4376
421,151.7684
422,139.3175
423,148.8192
424,169.0351
425,167.3517
426,166.1570
427,166.8319
428,145.8957
429,161.8217
430,169.9613
431,150.4068
432,155.4289
433,159.9957
434,162.9523
435,163.3801
436,169.4123
437,167.5951
438,163.1899
439,164.3961
440,168.8887
441,155.4857
442,165.7086
443,144.1903
444,168.8872
445,155.7857
446,162.3147
447,167.1329
448,167.2165
449,169.6151
450,148.0411
451,146.8797
452,158.1284
453,168.5441
454,163.0544
455,164.4824
456,168.1825
457,155.8142
458,148.8988
459,156.9676
460,144.7540
461,141.3572
462,157.7054
463,155.8130
464,161.4141
465,165.6136
466,172.3831
467,141.4707
468,151.2800
469,152.8037
470,161.2913
471,154.0328
472,153.8963
473,157.7287
474,150.1957
475,144.1118
476,152.9137
477,160.3392
478,165.0751
479,156.1724
480,153.9140
481,162.2329
482,167.1538
483,167.1480
484,152.0723
485,145.9976
486,171.3012
487,154.0689
488,148.2545
489,160.3631
490,155.6918
491,159.0055
492,136.5600
493,165.1205
494,143.8055
495,171.8265
496,152.0125
497,155.0202
498,146.0493
499,146.2169
500,140.4081
501,157.6385
502,167.8419
503,149.9644
504,148.0597
505,143.1369
506,172.1048
507,160.9877
508,149.3109
509,139.1912
510,166.1280
511,169.1498
512,158.7493
513,153.9093
514,154.8546
515,153.6713
516,160.0413
517,149.1277
518,168.9068
519,167.8811
520,165.0597
521,155.7466
522,172.2446
523,162.6164
524,159.3105
525,147.9557
526,148.3079
527,161.0774
528,147.5191
529,148.0394
530,161.7072
531,159.4647
532,148.5316
533,148.7864
534,148.0995
535,147.8949
536,147.1978
537,144.9722
538,142.6783
539,141.6693
540,162.8263
541,166.8664
542,147.3032
543,139.5957
544,172.9655
545,155.8532
546,149.4346
547,149.9124
548,152.0106
549,149.7721
550,146.3714
551,156.5408
552,154.7805
553,156.0320
554,151.9136
555,156.9144
556,147.2534
557,143.1461
558,172.3722
559,149.3810
560,172.1871
561,165.8783
562,151.4336
563,153.7405
564,142.9430
565,142.6861
566,146.1412
567,142.8367
568,158.1566
569,155.3581
570,161.8830
571,165.3752
572,144.9596
573,149.1239
574,150.9503
575,156.2790
576,160.2956
577,154.7241
578,169.9770
579,142.9728
580,162.6100
581,158.0120
582,168.9910
583,175.6245
584,179.7826
585,153.0447
586,147.6859
587,167.2084
588,169.0956
589,156.8954
590,151.2595
591,142.9376
592,147.9511
593,162.8943
594,137.0824
595,156.8831
596,150.6210
597,148.0499
598,148.3515
599,141.4118
600,176.7125
601,169.4054
602,165.8123
603,161.0919
604,155.5769
605,170.0579
606,165.9853
607,147.5461
608,163.0912
609,160.6000
610,144.9527
611,155.7514
612,173.2861
613,148.1785
614,153.0095
615,159.5432
616,150.1973
617,161.2699
618,142.1943
619,159.6223
620,144.9891
621,177.6904
622,150.8327
623,147.3350
624,177.7632
625,167.0437
626,146.9041
627,160.6829
628,152.1886
629,162.4660
630,172.6966
631,161.9505
632,148.8170
633,151.4599
634,143.2850
635,155.8988
636,161.1647
637,149.0777
638,155.3848
639,172.0936
640,163.3168
641,160.1597
642,154.7429
643,169.0295
644,160.7611
645,162.4729
646,141.2182
647,161.9257
648,161.3573
649,140.0604
650,158.1058
651,158.0835
652,137.7946
653,142.3759
654,160.9244
655,171.8893
656,153.1636
657,142.5064
658,168.5651
659,159.4183
660,146.0762
661,141.0209
662,144.4548
663,132.6073
664,151.4319
665,166.5897
666,164.7832
667,142.0993
668,162.1630
669,161.4966
670,156.5805
671,144.3428
672,147.2669
673,158.1786
674,171.7065
675,163.9949
676,166.7573
677,149.8708
678,159.1057
679,142.9646
680,144.0430
681,143.7581
682,153.1389
683,158.3184
684,155.7842
685,138.3058
686,150.9046
687,145.6182
